Brew_ID,Name,City,State,,,,
1,NorthGate Brewing ,Minneapolis, MN,NorthGate Brewing  Minneapolis  MN,"783 Harding St NE, Minneapolis, MN 55413",,
2,Against the Grain Brewery,Louisville, KY,Against the Grain Brewery Louisville  KY,"401 E Main St, Louisville, KY 40202",,
3,Jack's Abby Craft Lagers,Framingham, MA,Jack's Abby Craft Lagers Framingham  MA,"100 Clinton St, Framingham, MA 01702",,
4,Mike Hess Brewing Company,San Diego, CA,Mike Hess Brewing Company San Diego  CA,"7955 Silverton Ave #1201, San Diego, CA 92126","3812 Grim Ave, San Diego, CA 92104","4893 Voltaire St, San Diego, CA 92107"
5,Fort Point Beer Company,San Francisco, CA,Fort Point Beer Company San Francisco  CA,"644 Old Mason St, San Francisco, CA 94129","1 The Embarcadero #54, San Francisco, CA 94105",
6,COAST Brewing Company,Charleston, SC,COAST Brewing Company Charleston  SC,"1250 2nd St N, North Charleston, SC 29405",,
7,Great Divide Brewing Company,Denver, CO,Great Divide Brewing Company Denver  CO,"2201 Arapahoe St, Denver, CO 80205",,
8,Tapistry Brewing,Bridgman, MI,Tapistry Brewing Bridgman  MI,"4236 Lake St, Bridgman, MI 49106",,
9,Big Lake Brewing,Holland, MI,Big Lake Brewing Holland  MI,"977 Butternut Dr #4, Holland, MI 49424",,
10,The Mitten Brewing Company,Grand Rapids, MI,The Mitten Brewing Company Grand Rapids  MI,"527 Leonard St NW, Grand Rapids, MI 49504",,
11,Brewery Vivant,Grand Rapids, MI,Brewery Vivant Grand Rapids  MI,"925 Cherry St SE, Grand Rapids, MI 49506",,
12,Petoskey Brewing,Petoskey, MI,Petoskey Brewing Petoskey  MI,"1844 M 119 Harbor-Petoskey Road, Petoskey, MI 49770",,
13,Blackrocks Brewery,Marquette, MI,Blackrocks Brewery Marquette  MI,"424 N 3rd St, Marquette, MI 49855",,
14,Perrin Brewing Company,Comstock Park, MI,Perrin Brewing Company Comstock Park  MI,"5910 Comstock Park Dr NW, Comstock Park, MI 49321",,
15,Witch's Hat Brewing Company,South Lyon, MI,Witch's Hat Brewing Company South Lyon  MI,"601 S Lafayette St, South Lyon, MI 48178",,
16,Founders Brewing Company,Grand Rapids, MI,Founders Brewing Company Grand Rapids  MI,"235 Grandville Ave SW, Grand Rapids, MI 49503",,
17,Flat 12 Bierwerks,Indianapolis, IN,Flat 12 Bierwerks Indianapolis  IN,"414 Dorman St, Indianapolis, IN 46202",,
18,Tin Man Brewing Company,Evansville, IN,Tin Man Brewing Company Evansville  IN,"1430 W Franklin St, Evansville, IN 47710",,
19,Black Acre Brewing Co.,Indianapolis, IN,Black Acre Brewing Co. Indianapolis  IN,"5632 E Washington St, Indianapolis, IN 46219",,
20,Brew Link Brewing,Plainfield, IN,Brew Link Brewing Plainfield  IN,"212 E Main St, Plainfield, IN 46168",,
21,Bare Hands Brewery,Granger, IN,Bare Hands Brewery Granger  IN,"12804 Sandy Ct, Granger, IN 46530",,
22,Three Pints Brewing,Martinsville, IN,Three Pints Brewing Martinsville  IN,"5020 Cambridge Way, Plainfield, IN 46168",,
23,Four Fathers Brewing ,Valparaiso, IN,Four Fathers Brewing  Valparaiso  IN,"1555 W Lincolnway, Valparaiso, IN 46385",,
24,Indiana City Brewing,Indianapolis, IN,Indiana City Brewing Indianapolis  IN,"24 Shelby St, Indianapolis, IN 46202",,
25,Burn 'Em Brewing,Michigan City, IN,Burn 'Em Brewing Michigan City  IN,"718 Freyer Rd, Michigan City, IN 46360",,
26,Sun King Brewing Company,Indianapolis, IN,Sun King Brewing Company Indianapolis  IN,"135 N College Ave, Indianapolis, IN 46202",,
27,Evil Czech Brewery,Mishawaka, IN,Evil Czech Brewery Mishawaka  IN,"3703 N Main St, Mishawaka, IN 46545",,
28,450 North Brewing Company,Columbus, IN,450 North Brewing Company Columbus  IN,"8111 E 450 N, Columbus, IN 47203",,
29,Taxman Brewing Company,Bargersville, IN,Taxman Brewing Company Bargersville  IN,"13 S Baldwin St, Bargersville, IN 46106",,
30,Cedar Creek Brewery,Seven Points, TX,Cedar Creek Brewery Seven Points  TX,"336 E Cedar Creek Pkwy, Seven Points, TX 75143",,
31,SanTan Brewing Company,Chandler, AZ,SanTan Brewing Company Chandler  AZ,,,
32,Boulevard Brewing Company,Kansas City, MO,Boulevard Brewing Company Kansas City  MO,,,
33,James Page Brewing Company,Stevens Point, WI,James Page Brewing Company Stevens Point  WI,,,
34,The Dudes' Brewing Company,Torrance, CA,The Dudes' Brewing Company Torrance  CA,,,
35,Ballast Point Brewing Company,San Diego, CA,Ballast Point Brewing Company San Diego  CA,,,
36,Anchor Brewing Company,San Francisco, CA,Anchor Brewing Company San Francisco  CA,,,
37,Figueroa Mountain Brewing Company,Buellton, CA,Figueroa Mountain Brewing Company Buellton  CA,,,
38,Avery Brewing Company,Boulder, CO,Avery Brewing Company Boulder  CO,,,
39,Twisted X Brewing Company,Dripping Springs, TX,Twisted X Brewing Company Dripping Springs  TX,,,
40,Gonzo's BiggDogg Brewing,Kalamazoo, MI,Gonzo's BiggDogg Brewing Kalamazoo  MI,,,
41,Big Muddy Brewing,Murphysboro, IL,Big Muddy Brewing Murphysboro  IL,,,
42,Lost Nation Brewing,East Fairfield, VT,Lost Nation Brewing East Fairfield  VT,,,
43,Rising Tide Brewing Company,Portland, ME,Rising Tide Brewing Company Portland  ME,,,
44,Rivertowne Brewing Company,Export, PA,Rivertowne Brewing Company Export  PA,,,
45,Revolution Brewing Company,Chicago, IL,Revolution Brewing Company Chicago  IL,,,
46,Tallgrass Brewing Company,Manhattan, KS,Tallgrass Brewing Company Manhattan  KS,,,
47,Sixpoint Craft Ales,Brooklyn, NY,Sixpoint Craft Ales Brooklyn  NY,,,
48,White Birch Brewing,Hooksett, NH,White Birch Brewing Hooksett  NH,,,
49,Firestone Walker Brewing Company,Paso Robles, CA,Firestone Walker Brewing Company Paso Robles  CA,,,
50,SweetWater Brewing Company,Atlanta, GA,SweetWater Brewing Company Atlanta  GA,,,
51,Flying Mouse Brewery,Troutville, VA,Flying Mouse Brewery Troutville  VA,,,
52,Upslope Brewing Company,Boulder, CO,Upslope Brewing Company Boulder  CO,,,
53,Pipeworks Brewing Company,Chicago, IL,Pipeworks Brewing Company Chicago  IL,,,
54,Bent Brewstillery,Roseville, MN,Bent Brewstillery Roseville  MN,,,
55,Flesk Brewing Company,Lombard, IL,Flesk Brewing Company Lombard  IL,,,
56,Pollyanna Brewing Company,Lemont, IL,Pollyanna Brewing Company Lemont  IL,,,
57,BuckleDown Brewing,Lyons, IL,BuckleDown Brewing Lyons  IL,,,
58,Destihl Brewery,Bloomington, IL,Destihl Brewery Bloomington  IL,,,
59,Summit Brewing Company,St. Paul, MN,Summit Brewing Company St. Paul  MN,,,
60,Latitude 42 Brewing Company,Portage, MI,Latitude 42 Brewing Company Portage  MI,,,
61,4 Hands Brewing Company,Saint Louis, MO,4 Hands Brewing Company Saint Louis  MO,,,
62,Surly Brewing Company,Brooklyn Center, MN,Surly Brewing Company Brooklyn Center  MN,,,
63,Against The Grain Brewery,Louisville, KY,Against The Grain Brewery Louisville  KY,,,
64,Crazy Mountain Brewing Company,Edwards, CO,Crazy Mountain Brewing Company Edwards  CO,,,
65,SlapShot Brewing Company,Chicago, IL,SlapShot Brewing Company Chicago  IL,,,
66,Mikerphone Brewing,Chicago, IL,Mikerphone Brewing Chicago  IL,,,
67,Freetail Brewing Company,San Antonio, TX,Freetail Brewing Company San Antonio  TX,,,
68,3 Daughters Brewing,St Petersburg, FL,3 Daughters Brewing St Petersburg  FL,,,
69,Red Shedman Farm Brewery and Hop...,Mt. Airy, MD,Red Shedman Farm Brewery and Hop... Mt. Airy  MD,,,
70,Appalachian Mountain Brewery,Boone, NC,Appalachian Mountain Brewery Boone  NC,,,
71,Birdsong Brewing Company,Charlotte, NC,Birdsong Brewing Company Charlotte  NC,,,
72,Union Craft Brewing,Baltimore, MD,Union Craft Brewing Baltimore  MD,,,
73,Atwater Brewery,Detroit, MI,Atwater Brewery Detroit  MI,,,
74,Ale Asylum,Madison, WI,Ale Asylum Madison  WI,,,
75,Two Brothers Brewing Company,Warrenville, IL,Two Brothers Brewing Company Warrenville  IL,,,
76,Bent Paddle Brewing Company,Duluth, MN,Bent Paddle Brewing Company Duluth  MN,,,
77,Bell's Brewery,Kalamazoo, MI,Bell's Brewery Kalamazoo  MI,,,
78,Blue Owl Brewing,Austin, TX,Blue Owl Brewing Austin  TX,,,
79,Speakasy Ales & Lagers,San Francisco, CA,Speakasy Ales & Lagers San Francisco  CA,,,
80,Black Tooth Brewing Company,Sheridan, WY,Black Tooth Brewing Company Sheridan  WY,,,
81,Hopworks Urban Brewery,Portland, OR,Hopworks Urban Brewery Portland  OR,,,
82,Epic Brewing,Denver, CO,Epic Brewing Denver  CO,,,
83,New Belgium Brewing Company,Fort Collins, CO,New Belgium Brewing Company Fort Collins  CO,,,
84,Sierra Nevada Brewing Company,Chico, CA,Sierra Nevada Brewing Company Chico  CA,,,
85,Keweenaw Brewing Company,Houghton, MI,Keweenaw Brewing Company Houghton  MI,,,
86,Brewery Terra Firma,Traverse City, MI,Brewery Terra Firma Traverse City  MI,,,
87,Grey Sail Brewing Company,Westerly, RI,Grey Sail Brewing Company Westerly  RI,,,
88,Kirkwood Station Brewing Company,Kirkwood, MO,Kirkwood Station Brewing Company Kirkwood  MO,,,
89,Goose Island Brewing Company,Chicago, IL,Goose Island Brewing Company Chicago  IL,,,
90,Broad Brook Brewing LLC,East Windsor, CT,Broad Brook Brewing LLC East Windsor  CT,,,
91,The Lion Brewery,Wilkes-Barre, PA,The Lion Brewery Wilkes-Barre  PA,,,
92,Madtree Brewing Company,Cincinnati, OH,Madtree Brewing Company Cincinnati  OH,,,
93,Jackie O's Pub & Brewery,Athens, OH,Jackie O's Pub & Brewery Athens  OH,,,
94,Rhinegeist Brewery,Cincinnati, OH,Rhinegeist Brewery Cincinnati  OH,,,
95,Warped Wing Brewing Company,Dayton, OH,Warped Wing Brewing Company Dayton  OH,,,
96,Blackrocks Brewery,Marquette, MA,Blackrocks Brewery Marquette  MA,,,
97,Catawba Valley Brewing Company,Morganton, NC,Catawba Valley Brewing Company Morganton  NC,,,
98,Tröegs Brewing Company,Hershey, PA,Tröegs Brewing Company Hershey  PA,,,
99,Mission Brewery,San Diego, CA,Mission Brewery San Diego  CA,,,
100,Christian Moerlein Brewing Company,Cincinnati, OH,Christian Moerlein Brewing Company Cincinnati  OH,,,
101,West Sixth Brewing,Lexington, KY,West Sixth Brewing Lexington  KY,,,
102,Coastal Extreme Brewing Company,Newport, RI,Coastal Extreme Brewing Company Newport  RI,,,
103,King Street Brewing Company,Anchorage, AK,King Street Brewing Company Anchorage  AK,,,
104,Beer Works Brewery,Lowell, MA,Beer Works Brewery Lowell  MA,,,
105,Lone Tree Brewing Company,Lone Tree, CO,Lone Tree Brewing Company Lone Tree  CO,,,
106,Four String Brewing Company,Columbus, OH,Four String Brewing Company Columbus  OH,,,
107,Glabrous Brewing Company,Pineland, ME,Glabrous Brewing Company Pineland  ME,,,
108,Bonfire Brewing Company,Eagle, CO,Bonfire Brewing Company Eagle  CO,,,
109,Thomas Hooker Brewing Company,Bloomfield, CT,Thomas Hooker Brewing Company Bloomfield  CT,,,
110,"Woodstock Inn, Station & Brewery",North Woodstock, NH,"Woodstock Inn, Station & Brewery North Woodstock  NH",,,
111,Renegade Brewing Company,Denver, CO,Renegade Brewing Company Denver  CO,,,
112,Mother Earth Brew Company,Vista, CA,Mother Earth Brew Company Vista  CA,,,
113,Black Market Brewing Company,Temecula, CA,Black Market Brewing Company Temecula  CA,,,
114,Vault Brewing Company,Yardley, PA,Vault Brewing Company Yardley  PA,,,
115,Jailbreak Brewing Company,Laurel, MD,Jailbreak Brewing Company Laurel  MD,,,
116,Smartmouth Brewing Company,Norfolk, VA,Smartmouth Brewing Company Norfolk  VA,,,
117,Base Camp Brewing Co.,Portland, OR,Base Camp Brewing Co. Portland  OR,,,
118,Alameda Brewing,Portland, OR,Alameda Brewing Portland  OR,,,
119,Southern Star Brewing Company,Conroe, TX,Southern Star Brewing Company Conroe  TX,,,
120,Steamworks Brewing Company,Durango, CO,Steamworks Brewing Company Durango  CO,,,
121,Horny Goat Brew Pub,Milwaukee, WI,Horny Goat Brew Pub Milwaukee  WI,,,
122,Cheboygan Brewing Company,Cheboygan, MI,Cheboygan Brewing Company Cheboygan  MI,,,
123,Center of the Universe Brewing C...,Ashland, VA,Center of the Universe Brewing C... Ashland  VA,,,
124,Ipswich Ale Brewery,Ipswich, MA,Ipswich Ale Brewery Ipswich  MA,,,
125,Griffin Claw Brewing Company,Birmingham, MI,Griffin Claw Brewing Company Birmingham  MI,,,
126,Karbach Brewing Company,Houston, TX,Karbach Brewing Company Houston  TX,,,
127,Uncle Billy's Brewery and Smokeh...,Austin, TX,Uncle Billy's Brewery and Smokeh... Austin  TX,,,
128,Deep Ellum Brewing Company,Dallas, TX,Deep Ellum Brewing Company Dallas  TX,,,
129,Real Ale Brewing Company,Blanco, TX,Real Ale Brewing Company Blanco  TX,,,
130,Straub Brewery,St Mary's, PA,Straub Brewery St Mary's  PA,,,
131,Shebeen Brewing Company,Wolcott, CT,Shebeen Brewing Company Wolcott  CT,,,
132,Stevens Point Brewery,Stevens Point, WI,Stevens Point Brewery Stevens Point  WI,,,
133,Weston Brewing Company,Weston, MO,Weston Brewing Company Weston  MO,,,
134,Southern Prohibition Brewing Com...,Hattiesburg, MS,Southern Prohibition Brewing Com... Hattiesburg  MS,,,
135,Minhas Craft Brewery,Monroe, WI,Minhas Craft Brewery Monroe  WI,,,
136,Pug Ryan's Brewery,Dillon, CO,Pug Ryan's Brewery Dillon  CO,,,
137,Hops & Grains Brewing Company,Austin, TX,Hops & Grains Brewing Company Austin  TX,,,
138,Sietsema Orchards and Cider Mill,Ada, MI,Sietsema Orchards and Cider Mill Ada  MI,,,
139,Summit Brewing Company,St Paul, MN,Summit Brewing Company St Paul  MN,,,
140,Core Brewing & Distilling Company,Springdale, AR,Core Brewing & Distilling Company Springdale  AR,,,
141,Independence Brewing Company,Austin, TX,Independence Brewing Company Austin  TX,,,
142,Cigar City Brewing Company,Tampa, FL,Cigar City Brewing Company Tampa  FL,,,
143,Third Street Brewhouse,Cold Spring, MN,Third Street Brewhouse Cold Spring  MN,,,
144,Narragansett Brewing Company,Providence, RI,Narragansett Brewing Company Providence  RI,,,
145,Grimm Brothers Brewhouse,Loveland, CO,Grimm Brothers Brewhouse Loveland  CO,,,
146,Cisco Brewers,Nantucket, MA,Cisco Brewers Nantucket  MA,,,
147,Angry Minnow,Hayward, WI,Angry Minnow Hayward  WI,,,
148,Platform Beer Company,Cleveland, OH,Platform Beer Company Cleveland  OH,,,
149,Odyssey Beerwerks,Arvada, CO,Odyssey Beerwerks Arvada  CO,,,
150,Lonerider Brewing Company,Raleigh, NC,Lonerider Brewing Company Raleigh  NC,,,
151,Oakshire Brewing,Eugene, OR,Oakshire Brewing Eugene  OR,,,
152,Fort Pitt Brewing Company,Latrobe, PA,Fort Pitt Brewing Company Latrobe  PA,,,
153,Tin Roof Brewing Company,Baton Rouge, LA,Tin Roof Brewing Company Baton Rouge  LA,,,
154,Three Creeks Brewing,Sisters, OR,Three Creeks Brewing Sisters  OR,,,
155,2 Towns Ciderhouse,Corvallis, OR,2 Towns Ciderhouse Corvallis  OR,,,
156,Caldera Brewing Company,Ashland, OR,Caldera Brewing Company Ashland  OR,,,
157,Greenbrier Valley Brewing Company,Lewisburg, WV,Greenbrier Valley Brewing Company Lewisburg  WV,,,
158,Phoenix Ale Brewery,Phoenix, AZ,Phoenix Ale Brewery Phoenix  AZ,,,
159,Lumberyard Brewing Company,Flagstaff, AZ,Lumberyard Brewing Company Flagstaff  AZ,,,
160,Uinta Brewing Company,Salt Lake City, UT,Uinta Brewing Company Salt Lake City  UT,,,
161,Four Peaks Brewing Company,Tempe, AZ,Four Peaks Brewing Company Tempe  AZ,,,
162,Martin House Brewing Company,Fort Worth, TX,Martin House Brewing Company Fort Worth  TX,,,
163,Right Brain Brewery,Traverse City, MI,Right Brain Brewery Traverse City  MI,,,
164,Sly Fox Brewing Company,Phoenixville, PA,Sly Fox Brewing Company Phoenixville  PA,,,
165,Round Guys Brewing,Lansdale, PA,Round Guys Brewing Lansdale  PA,,,
166,Great Crescent Brewery,Aurora, IN,Great Crescent Brewery Aurora  IN,,,
167,Oskar Blues Brewery,Longmont, CO,Oskar Blues Brewery Longmont  CO,,,
168,Boxcar Brewing Company,West Chester, PA,Boxcar Brewing Company West Chester  PA,,,
169,High Hops Brewery,Windsor, CO,High Hops Brewery Windsor  CO,,,
170,Crooked Fence Brewing Company,Garden City, ID,Crooked Fence Brewing Company Garden City  ID,,,
171,Everybody's Brewing,White Salmon, WA,Everybody's Brewing White Salmon  WA,,,
172,Anderson Valley Brewing Company,Boonville, CA,Anderson Valley Brewing Company Boonville  CA,,,
173,Fiddlehead Brewing Company,Shelburne, VT,Fiddlehead Brewing Company Shelburne  VT,,,
174,Evil Twin Brewing,Brooklyn, NY,Evil Twin Brewing Brooklyn  NY,,,
175,New Orleans Lager & Ale Brewing ...,New Orleans, LA,New Orleans Lager & Ale Brewing ... New Orleans  LA,,,
176,Spiteful Brewing Company,Chicago, IL,Spiteful Brewing Company Chicago  IL,,,
177,Rahr & Sons Brewing Company,Fort Worth, TX,Rahr & Sons Brewing Company Fort Worth  TX,,,
178,18th Street Brewery,Gary, IN,18th Street Brewery Gary  IN,,,
179,Cambridge Brewing Company,Cambridge, MA,Cambridge Brewing Company Cambridge  MA,,,
180,Carolina Brewery,Pittsboro, NC,Carolina Brewery Pittsboro  NC,,,
181,Frog Level Brewing Company,Waynesville, NC,Frog Level Brewing Company Waynesville  NC,,,
182,Wild Wolf Brewing Company,Nellysford, VA,Wild Wolf Brewing Company Nellysford  VA,,,
183,COOP Ale Works,Oklahoma City, OK,COOP Ale Works Oklahoma City  OK,,,
184,Seventh Son Brewing Company,Columbus, OH,Seventh Son Brewing Company Columbus  OH,,,
185,Oasis Texas Brewing Company,Austin, TX,Oasis Texas Brewing Company Austin  TX,,,
186,Vander Mill Ciders,Spring Lake, MI,Vander Mill Ciders Spring Lake  MI,,,
187,St. Julian Winery,Paw Paw, MI,St. Julian Winery Paw Paw  MI,,,
188,Pedernales Brewing Company,Fredericksburg, TX,Pedernales Brewing Company Fredericksburg  TX,,,
189,Mother's Brewing,Springfield, MO,Mother's Brewing Springfield  MO,,,
190,Modern Monks Brewery,Lincoln, NE,Modern Monks Brewery Lincoln  NE,,,
191,Two Beers Brewing Company,Seattle, WA,Two Beers Brewing Company Seattle  WA,,,
192,Snake River Brewing Company,Jackson, WY,Snake River Brewing Company Jackson  WY,,,
193,Capital Brewery,Middleton, WI,Capital Brewery Middleton  WI,,,
194,Anthem Brewing Company,Oklahoma City, OK,Anthem Brewing Company Oklahoma City  OK,,,
195,Goodlife Brewing Co.,Bend, OR,Goodlife Brewing Co. Bend  OR,,,
196,Breakside Brewery,Portland, OR,Breakside Brewery Portland  OR,,,
197,Goose Island Brewery Company,Chicago, IL,Goose Island Brewery Company Chicago  IL,,,
198,Burnside Brewing Co.,Portland, OR,Burnside Brewing Co. Portland  OR,,,
199,Hop Valley Brewing Company,Springfield, OR,Hop Valley Brewing Company Springfield  OR,,,
200,Worthy Brewing Company,Bend, OR,Worthy Brewing Company Bend  OR,,,
201,Occidental Brewing Company,Portland, OR,Occidental Brewing Company Portland  OR,,,
202,Fearless Brewing Company,Estacada, OR,Fearless Brewing Company Estacada  OR,,,
203,Upland Brewing Company,Bloomington, IN,Upland Brewing Company Bloomington  IN,,,
204,Mehana Brewing Co.,Hilo, HI,Mehana Brewing Co. Hilo  HI,,,
205,Hawai'i Nui Brewing Co.,Hilo, HI,Hawai'i Nui Brewing Co. Hilo  HI,,,
206,People's Brewing Company,Lafayette, IN,People's Brewing Company Lafayette  IN,,,
207,Fort George Brewery,Astoria, OR,Fort George Brewery Astoria  OR,,,
208,Branchline Brewing Company,San Antonio, TX,Branchline Brewing Company San Antonio  TX,,,
209,Kalona Brewing Company,Kalona, IA,Kalona Brewing Company Kalona  IA,,,
210,Modern Times Beer,San Diego, CA,Modern Times Beer San Diego  CA,,,
211,Temperance Beer Company,Evanston, IL,Temperance Beer Company Evanston  IL,,,
212,Wisconsin Brewing Company,Verona, WI,Wisconsin Brewing Company Verona  WI,,,
213,Crow Peak Brewing Company,Spearfish, SD,Crow Peak Brewing Company Spearfish  SD,,,
214,Grapevine Craft Brewery,Farmers Branch, TX,Grapevine Craft Brewery Farmers Branch  TX,,,
215,Buffalo Bayou Brewing Company,Houston, TX,Buffalo Bayou Brewing Company Houston  TX,,,
216,Texian Brewing Co.,Richmond, TX,Texian Brewing Co. Richmond  TX,,,
217,Orpheus Brewing,Atlanta, GA,Orpheus Brewing Atlanta  GA,,,
218,Forgotten Boardwalk,Cherry Hill, NJ,Forgotten Boardwalk Cherry Hill  NJ,,,
219,Laughing Dog Brewing Company,Ponderay, ID,Laughing Dog Brewing Company Ponderay  ID,,,
220,Bozeman Brewing Company,Bozeman, MT,Bozeman Brewing Company Bozeman  MT,,,
221,Big Choice Brewing,Broomfield, CO,Big Choice Brewing Broomfield  CO,,,
222,Big Storm Brewing Company,Odessa, FL,Big Storm Brewing Company Odessa  FL,,,
223,Carton Brewing Company,Atlantic Highlands, NJ,Carton Brewing Company Atlantic Highlands  NJ,,,
224,Midnight Sun Brewing Company,Anchorage, AK,Midnight Sun Brewing Company Anchorage  AK,,,
225,Fat Head's Brewery,Middleburg Heights, OH,Fat Head's Brewery Middleburg Heights  OH,,,
226,Refuge Brewery,Temecula, CA,Refuge Brewery Temecula  CA,,,
227,Chatham Brewing,Chatham, NY,Chatham Brewing Chatham  NY,,,
228,DC Brau Brewing Company,Washington, DC,DC Brau Brewing Company Washington  DC,,,
229,Geneva Lake Brewing Company,Lake Geneva, WI,Geneva Lake Brewing Company Lake Geneva  WI,,,
230,Rochester Mills Brewing Company,Rochester, MI,Rochester Mills Brewing Company Rochester  MI,,,
231,Cape Ann Brewing Company,Gloucester, MA,Cape Ann Brewing Company Gloucester  MA,,,
232,Borderlands Brewing Company,Tucson, AZ,Borderlands Brewing Company Tucson  AZ,,,
233,College Street Brewhouse and Pub,Lake Havasu City, AZ,College Street Brewhouse and Pub Lake Havasu City  AZ,,,
234,Joseph James Brewing Company,Henderson, NV,Joseph James Brewing Company Henderson  NV,,,
235,Harpoon Brewery,Boston, MA,Harpoon Brewery Boston  MA,,,
236,Back East Brewing Company,Bloomfield, CT,Back East Brewing Company Bloomfield  CT,,,
237,Champion Brewing Company,Charlottesville, VA,Champion Brewing Company Charlottesville  VA,,,
238,Devil's Backbone Brewing Company,Lexington, VA,Devil's Backbone Brewing Company Lexington  VA,,,
239,Newburgh Brewing Company,Newburgh, NY,Newburgh Brewing Company Newburgh  NY,,,
240,Wiseacre Brewing Company,Memphis, TN,Wiseacre Brewing Company Memphis  TN,,,
241,Golden Road Brewing,Los Angeles, CA,Golden Road Brewing Los Angeles  CA,,,
242,New Republic Brewing Company,College Station, TX,New Republic Brewing Company College Station  TX,,,
243,Infamous Brewing Company,Austin, TX,Infamous Brewing Company Austin  TX,,,
244,Two Henrys Brewing Company,Plant City, FL,Two Henrys Brewing Company Plant City  FL,,,
245,Lift Bridge Brewing Company,Stillwater, MN,Lift Bridge Brewing Company Stillwater  MN,,,
246,Lucky Town Brewing Company,Jackson, MS,Lucky Town Brewing Company Jackson  MS,,,
247,Quest Brewing Company,Greenville, SC,Quest Brewing Company Greenville  SC,,,
248,Creature Comforts,Athens, GA,Creature Comforts Athens  GA,,,
249,Half Full Brewery,Stamford, CT,Half Full Brewery Stamford  CT,,,
250,Southampton Publick House,Southampton, NY,Southampton Publick House Southampton  NY,,,
251,Chapman's Brewing,Angola, IN,Chapman's Brewing Angola  IN,,,
252,Barrio Brewing Company,Tucson, AZ,Barrio Brewing Company Tucson  AZ,,,
253,Santa Cruz Mountain Brewing,Santa Cruz, CA,Santa Cruz Mountain Brewing Santa Cruz  CA,,,
254,Frankenmuth Brewery,Frankenmuth, MI,Frankenmuth Brewery Frankenmuth  MI,,,
255,Meckley's Cidery,Somerset Center, MI,Meckley's Cidery Somerset Center  MI,,,
256,Stillwater Artisanal Ales,Baltimore, MD,Stillwater Artisanal Ales Baltimore  MD,,,
257,Finch's Beer Company,Chicago, IL,Finch's Beer Company Chicago  IL,,,
258,South Austin Brewery,South Austin, TX,South Austin Brewery South Austin  TX,,,
259,Bauhaus Brew Labs,Minneapolis, MN,Bauhaus Brew Labs Minneapolis  MN,,,
260,Ozark Beer Company,Rogers, AR,Ozark Beer Company Rogers  AR,,,
261,Mountain Town Brewing Company ,Mount Pleasant, MI,Mountain Town Brewing Company  Mount Pleasant  MI,,,
262,Otter Creek Brewing,Waterbury, VT,Otter Creek Brewing Waterbury  VT,,,
263,The Brewer's Art,Baltimore, MD,The Brewer's Art Baltimore  MD,,,
264,Denver Beer Company,Denver, CO,Denver Beer Company Denver  CO,,,
265,Ska Brewing Company,Durango, CO,Ska Brewing Company Durango  CO,,,
266,Tractor Brewing Company,Albuquerque, NM,Tractor Brewing Company Albuquerque  NM,,,
267,Peak Organic Brewing Company,Portland, ME,Peak Organic Brewing Company Portland  ME,,,
268,Cape Cod Beer,Hyannis, MA,Cape Cod Beer Hyannis  MA,,,
269,Long Trail Brewing Company,Bridgewater Corners, VT,Long Trail Brewing Company Bridgewater Corners  VT,,,
