Brew_ID,Name,City,State,,,,
270,Great Raft Brewing Company,Shreveport, LA,Great Raft Brewing Company Shreveport  LA,,,
271,Alaskan Brewing Company,Juneau, AK,Alaskan Brewing Company Juneau  AK,,,
272,Notch Brewing Company,Ipswich, MA,Notch Brewing Company Ipswich  MA,,,
273,The Alchemist,Waterbury, VT,The Alchemist Waterbury  VT,,,
274,Three Notch'd Brewing Company,Charlottesville, VA,Three Notch'd Brewing Company Charlottesville  VA,,,
275,Portside Brewery,Cleveland, OH,Portside Brewery Cleveland  OH,,,
276,Otter Creek Brewing,Middlebury, VT,Otter Creek Brewing Middlebury  VT,,,
277,Montauk Brewing Company,Montauk, NY,Montauk Brewing Company Montauk  NY,,,
278,Indeed Brewing Company,Minneapolis, MN,Indeed Brewing Company Minneapolis  MN,,,
279,Berkshire Brewing Company,South Deerfield, MA,Berkshire Brewing Company South Deerfield  MA,,,
280,Foolproof Brewing Company,Pawtucket, RI,Foolproof Brewing Company Pawtucket  RI,,,
281,Headlands Brewing Company,Mill Valley, CA,Headlands Brewing Company Mill Valley  CA,,,
282,Bolero Snort Brewery,Ridgefield Park, NJ,Bolero Snort Brewery Ridgefield Park  NJ,,,
283,Thunderhead Brewing Company,Kearney, NE,Thunderhead Brewing Company Kearney  NE,,,
284,Defiance Brewing Company,Hays, KS,Defiance Brewing Company Hays  KS,,,
285,Milwaukee Brewing Company,Milwaukee, WI,Milwaukee Brewing Company Milwaukee  WI,,,
286,Catawba Island Brewing,Port Clinton, OH,Catawba Island Brewing Port Clinton  OH,,,
287,Back Forty Beer Company,Gadsden, AL,Back Forty Beer Company Gadsden  AL,,,
288,Four Corners Brewing Company,Dallas, TX,Four Corners Brewing Company Dallas  TX,,,
289,Saint Archer Brewery,San Diego, CA,Saint Archer Brewery San Diego  CA,,,
290,Rogue Ales,Newport, OR,Rogue Ales Newport  OR,,,
291,Hale's Ales,Seattle, WA,Hale's Ales Seattle  WA,,,
292,Tommyknocker Brewery,Idaho Springs, CO,Tommyknocker Brewery Idaho Springs  CO,,,
293,Baxter Brewing Company,Lewiston, ME,Baxter Brewing Company Lewiston  ME,,,
294,Northampton Brewery,Northamtpon, MA,Northampton Brewery Northamtpon  MA,,,
295,Black Shirt Brewing Company,Denver, CO,Black Shirt Brewing Company Denver  CO,,,
296,Wachusett Brewing Company,Westminster, MA,Wachusett Brewing Company Westminster  MA,,,
297,Widmer Brothers Brewing Company,Portland, OR,Widmer Brothers Brewing Company Portland  OR,,,
298,Hop Farm Brewing Company,Pittsburgh, PA,Hop Farm Brewing Company Pittsburgh  PA,,,
299,Liquid Hero Brewery,York, PA,Liquid Hero Brewery York  PA,,,
300,Matt Brewing Company,Utica, NY,Matt Brewing Company Utica  NY,,,
301,Boston Beer Company,Boston, MA,Boston Beer Company Boston  MA,,,
302,Old Forge Brewing Company,Danville, PA,Old Forge Brewing Company Danville  PA,,,
303,Utah Brewers Cooperative,Salt Lake City, UT,Utah Brewers Cooperative Salt Lake City  UT,,,
304,Magic Hat Brewing Company,South Burlington, VT,Magic Hat Brewing Company South Burlington  VT,,,
305,Blue Hills Brewery,Canton, MA,Blue Hills Brewery Canton  MA,,,
306,Night Shift Brewing,Everett, MA,Night Shift Brewing Everett  MA,,,
307,Beach Brewing Company,Virginia Beach, VA,Beach Brewing Company Virginia Beach  VA,,,
308,Payette Brewing Company,Garden City, ID,Payette Brewing Company Garden City  ID,,,
309,Brew Bus Brewing,Tampa, FL,Brew Bus Brewing Tampa  FL,,,
310,Sockeye Brewing Company,Boise, ID,Sockeye Brewing Company Boise  ID,,,
311,Pine Street Brewery,San Francisco, CA,Pine Street Brewery San Francisco  CA,,,
312,Dirty Bucket Brewing Company,Woodinville, WA,Dirty Bucket Brewing Company Woodinville  WA,,,
313,Jackalope Brewing Company,Nashville, TN,Jackalope Brewing Company Nashville  TN,,,
314,Slanted Rock Brewing Company,Meridian, ID,Slanted Rock Brewing Company Meridian  ID,,,
315,Piney River Brewing Company,Bucryus, MO,Piney River Brewing Company Bucryus  MO,,,
316,Cutters Brewing Company,Avon, IN,Cutters Brewing Company Avon  IN,,,
317,Iron Hill Brewery & Restaurant,Wilmington, DE,Iron Hill Brewery & Restaurant Wilmington  DE,,,
318,Marshall Wharf Brewing Company,Belfast, ME,Marshall Wharf Brewing Company Belfast  ME,,,
319,Banner Beer Company,Williamsburg, MA,Banner Beer Company Williamsburg  MA,,,
320,Dick's Brewing Company,Centralia, WA,Dick's Brewing Company Centralia  WA,,,
321,Claremont Craft Ales,Claremont, CA,Claremont Craft Ales Claremont  CA,,,
322,Rivertown Brewing Company,Lockland, OH,Rivertown Brewing Company Lockland  OH,,,
323,Voodoo Brewery,Meadville, PA,Voodoo Brewery Meadville  PA,,,
324,D.L. Geary Brewing Company,Portland, ME,D.L. Geary Brewing Company Portland  ME,,,
325,Pisgah Brewing Company,Black Mountain, NC,Pisgah Brewing Company Black Mountain  NC,,,
326,Neshaminy Creek Brewing Company,Croydon, PA,Neshaminy Creek Brewing Company Croydon  PA,,,
327,Morgan Street Brewery,Saint Louis, MO,Morgan Street Brewery Saint Louis  MO,,,
328,Half Acre Beer Company,Chicago, IL,Half Acre Beer Company Chicago  IL,,,
329,The Just Beer Project,Burlington, VT,The Just Beer Project Burlington  VT,,,
330,The Bronx Brewery,Bronx, NY,The Bronx Brewery Bronx  NY,,,
331,Dead Armadillo Craft Brewing,Tulsa, OK,Dead Armadillo Craft Brewing Tulsa  OK,,,
332,Catawba Brewing Company,Morganton, NC,Catawba Brewing Company Morganton  NC,,,
333,La Cumbre Brewing Company,Albuquerque, NM,La Cumbre Brewing Company Albuquerque  NM,,,
334,David's Ale Works,Diamond Springs, CA,David's Ale Works Diamond Springs  CA,,,
335,The Traveler Beer Company,Burlington, VT,The Traveler Beer Company Burlington  VT,,,
336,Fargo Brewing Company,Fargo, ND,Fargo Brewing Company Fargo  ND,,,
337,Big Sky Brewing Company,Missoula, MT,Big Sky Brewing Company Missoula  MT,,,
338,Nebraska Brewing Company,Papillion, NE,Nebraska Brewing Company Papillion  NE,,,
339,Uncle John's Fruit House Winery,St. John's, MI,Uncle John's Fruit House Winery St. John's  MI,,,
340,Wormtown Brewery,Worcester, MA,Wormtown Brewery Worcester  MA,,,
341,Due South Brewing Company,Boynton Beach, FL,Due South Brewing Company Boynton Beach  FL,,,
342,Palisade Brewing Company,Palisade, CO,Palisade Brewing Company Palisade  CO,,,
343,KelSo Beer Company,Brooklyn, NY,KelSo Beer Company Brooklyn  NY,,,
344,Hardywood Park Craft Brewery,Richmond, VA,Hardywood Park Craft Brewery Richmond  VA,,,
345,Wolf Hills Brewing Company,Abingdon, VA,Wolf Hills Brewing Company Abingdon  VA,,,
346,Lavery Brewing Company,Erie, PA,Lavery Brewing Company Erie  PA,,,
347,Manzanita Brewing Company,Santee, CA,Manzanita Brewing Company Santee  CA,,,
348,Fullsteam Brewery,Durham, NC,Fullsteam Brewery Durham  NC,,,
349,Four Horsemen Brewing Company,South Bend, IN,Four Horsemen Brewing Company South Bend  IN,,,
350,Hinterland Brewery,Green Bay, WI,Hinterland Brewery Green Bay  WI,,,
351,Central Coast Brewing Company,San Luis Obispo, CA,Central Coast Brewing Company San Luis Obispo  CA,,,
352,Westfield River Brewing Company,Westfield, MA,Westfield River Brewing Company Westfield  MA,,,
353,Elevator Brewing Company,Columbus, OH,Elevator Brewing Company Columbus  OH,,,
354,Aslan Brewing Company,Bellingham, WA,Aslan Brewing Company Bellingham  WA,,,
355,Kulshan Brewery,Bellingham, WA,Kulshan Brewery Bellingham  WA,,,
356,Pikes Peak Brewing Company,Monument, CO,Pikes Peak Brewing Company Monument  CO,,,
357,Manayunk Brewing Company,Philadelphia, PA,Manayunk Brewing Company Philadelphia  PA,,,
358,Buckeye Brewing,Cleveland, OH,Buckeye Brewing Cleveland  OH,,,
359,Daredevil Brewing Company,Shelbyville, IN,Daredevil Brewing Company Shelbyville  IN,,,
360,NoDa Brewing Company,Charlotte, NC,NoDa Brewing Company Charlotte  NC,,,
361,Aviator Brewing Company,Fuquay-Varina, NC,Aviator Brewing Company Fuquay-Varina  NC,,,
362,Wild Onion Brewing Company,Lake Barrington, IL,Wild Onion Brewing Company Lake Barrington  IL,,,
363,Hilliard's Beer,Seattle, WA,Hilliard's Beer Seattle  WA,,,
364,Mikkeller,Pottstown, PA,Mikkeller Pottstown  PA,,,
365,Bohemian Brewery,Midvale, UT,Bohemian Brewery Midvale  UT,,,
366,Great River Brewery,Davenport, IA,Great River Brewery Davenport  IA,,,
367,Mustang Brewing Company,Mustang, OK,Mustang Brewing Company Mustang  OK,,,
368,Airways Brewing Company,Kent, WA,Airways Brewing Company Kent  WA,,,
369,21st Amendment Brewery,San Francisco, CA,21st Amendment Brewery San Francisco  CA,,,
370,Eddyline Brewery & Restaurant,Buena Vista, CO,Eddyline Brewery & Restaurant Buena Vista  CO,,,
371,Pizza Port Brewing Company,Carlsbad, CA,Pizza Port Brewing Company Carlsbad  CA,,,
372,Sly Fox Brewing Company,Pottstown, PA,Sly Fox Brewing Company Pottstown  PA,,,
373,Spring House Brewing Company,Conestoga, PA,Spring House Brewing Company Conestoga  PA,,,
374,7venth Sun,Dunedin, FL,7venth Sun Dunedin  FL,,,
375,Astoria Brewing Company,Astoria, OR,Astoria Brewing Company Astoria  OR,,,
376,Maui Brewing Company,Lahaina, HI,Maui Brewing Company Lahaina  HI,,,
377,RoughTail Brewing Company,Midwest City, OK,RoughTail Brewing Company Midwest City  OK,,,
378,Lucette Brewing Company,Menominee, WI,Lucette Brewing Company Menominee  WI,,,
379,Bold City Brewery,Jacksonville, FL,Bold City Brewery Jacksonville  FL,,,
380,Grey Sail Brewing of Rhode Island,Westerly, RI,Grey Sail Brewing of Rhode Island Westerly  RI,,,
381,Blue Blood Brewing Company,Lincoln, NE,Blue Blood Brewing Company Lincoln  NE,,,
382,Swashbuckler Brewing Company,Manheim, PA,Swashbuckler Brewing Company Manheim  PA,,,
383,Blue Mountain Brewery,Afton, VA,Blue Mountain Brewery Afton  VA,,,
384,Starr Hill Brewery,Crozet, VA,Starr Hill Brewery Crozet  VA,,,
385,Westbrook Brewing Company,Mt. Pleasant, SC,Westbrook Brewing Company Mt. Pleasant  SC,,,
386,Shipyard Brewing Company,Portland, ME,Shipyard Brewing Company Portland  ME,,,
387,Revolution Brewing,Paonia, CO,Revolution Brewing Paonia  CO,,,
388,Natian Brewery,Portland, OR,Natian Brewery Portland  OR,,,
389,Alltech's Lexington Brewing Company,Lexington, KY,Alltech's Lexington Brewing Company Lexington  KY,,,
390,Oskar Blues Brewery (North Carol...,Brevard, NC,Oskar Blues Brewery (North Carol... Brevard  NC,,,
391,Orlison Brewing Company,Airway Heights, WA,Orlison Brewing Company Airway Heights  WA,,,
392,Breckenridge Brewery,Denver, CO,Breckenridge Brewery Denver  CO,,,
393,Santa Fe Brewing Company,Santa Fe, NM,Santa Fe Brewing Company Santa Fe  NM,,,
394,Miami Brewing Company,Miami, FL,Miami Brewing Company Miami  FL,,,
395,Schilling & Company,Seattle, WA,Schilling & Company Seattle  WA,,,
396,Hops & Grain Brewery,Austin, TX,Hops & Grain Brewery Austin  TX,,,
397,White Flame Brewing Company,Hudsonville, MI,White Flame Brewing Company Hudsonville  MI,,,
398,Ruhstaller Beer Company,Sacramento, CA,Ruhstaller Beer Company Sacramento  CA,,,
399,Saugatuck Brewing Company,Douglas, MI,Saugatuck Brewing Company Douglas  MI,,,
400,Moab Brewery,Moab, UT,Moab Brewery Moab  UT,,,
401,Macon Beer Company,Macon, GA,Macon Beer Company Macon  GA,,,
402,Amnesia Brewing Company,Washougal, WA,Amnesia Brewing Company Washougal  WA,,,
403,Wolverine State Brewing Company,Ann Arbor, MI,Wolverine State Brewing Company Ann Arbor  MI,,,
404,Red Tank Cider Company,Bend, OR,Red Tank Cider Company Bend  OR,,,
405,Cascadia Ciderworks United,Portland, OR,Cascadia Ciderworks United Portland  OR,,,
406,Fate Brewing Company,Boulder, CO,Fate Brewing Company Boulder  CO,,,
407,Lazy Monk Brewing,Eau Claire, WI,Lazy Monk Brewing Eau Claire  WI,,,
408,Bitter Root Brewing,Hamilton, MT,Bitter Root Brewing Hamilton  MT,,,
409,10 Barrel Brewing Company,Bend, OR,10 Barrel Brewing Company Bend  OR,,,
410,Tamarack Brewing Company,Lakeside, MT,Tamarack Brewing Company Lakeside  MT,,,
411,New England Brewing Company,Woodbridge, CT,New England Brewing Company Woodbridge  CT,,,
412,Seattle Cider Company,Seattle, WA,Seattle Cider Company Seattle  WA,,,
413,Straight to Ale,Huntsville, AL,Straight to Ale Huntsville  AL,,,
414,Austin Beerworks,Austin, TX,Austin Beerworks Austin  TX,,,
415,Blue Mountain Brewery,Arrington, VA,Blue Mountain Brewery Arrington  VA,,,
416,Coastal Empire Beer Company,Savannah, GA,Coastal Empire Beer Company Savannah  GA,,,
417,Jack's Hard Cider (Hauser Estate...,Biglerville, PA,Jack's Hard Cider (Hauser Estate... Biglerville  PA,,,
418,Boulder Beer Company,Boulder, CO,Boulder Beer Company Boulder  CO,,,
419,Coalition Brewing Company,Portland, OR,Coalition Brewing Company Portland  OR,,,
420,Sanitas Brewing Company,Boulder, CO,Sanitas Brewing Company Boulder  CO,,,
421,Gore Range Brewery,Edwards, CO,Gore Range Brewery Edwards  CO,,,
422,Redstone Meadery,Boulder, CO,Redstone Meadery Boulder  CO,,,
423,Blue Dog Mead,Eugene, OR,Blue Dog Mead Eugene  OR,,,
424,Hess Brewing Company,San Diego, CA,Hess Brewing Company San Diego  CA,,,
425,Wynkoop Brewing Company,Denver, CO,Wynkoop Brewing Company Denver  CO,,,
426,Ciderboys,Stevens Point, WI,Ciderboys Stevens Point  WI,,,
427,Armadillo Ale Works,Denton, TX,Armadillo Ale Works Denton  TX,,,
428,Roanoke Railhouse Brewery,Roanoke, VA,Roanoke Railhouse Brewery Roanoke  VA,,,
429,Schlafly Brewing Company,Saint Louis, MO,Schlafly Brewing Company Saint Louis  MO,,,
430,Asher Brewing Company,Boulder, CO,Asher Brewing Company Boulder  CO,,,
431,Lost Rhino Brewing Company,Ashburn, VA,Lost Rhino Brewing Company Ashburn  VA,,,
432,North Country Brewing Company,Slippery Rock, PA,North Country Brewing Company Slippery Rock  PA,,,
433,Seabright Brewery,Santa Cruz, CA,Seabright Brewery Santa Cruz  CA,,,
434,French Broad Brewery,Asheville, NC,French Broad Brewery Asheville  NC,,,
435,Angry Orchard Cider Company,Cincinnati, OH,Angry Orchard Cider Company Cincinnati  OH,,,
436,Two Roads Brewing Company,Stratford, CT,Two Roads Brewing Company Stratford  CT,,,
437,Southern Oregon Brewing Company,Medford, OR,Southern Oregon Brewing Company Medford  OR,,,
438,Brooklyn Brewery,Brooklyn, NY,Brooklyn Brewery Brooklyn  NY,,,
439,The Right Brain Brewery,Traverse City, MI,The Right Brain Brewery Traverse City  MI,,,
440,Kona Brewing Company,Kona, HI,Kona Brewing Company Kona  HI,,,
441,MillKing It Productions,Royal Oak, MI,MillKing It Productions Royal Oak  MI,,,
442,Pateros Creek Brewing Company,Fort Collins, CO,Pateros Creek Brewing Company Fort Collins  CO,,,
443,O'Fallon Brewery,O'Fallon, MO,O'Fallon Brewery O'Fallon  MO,,,
444,Marble Brewery,Albuquerque, NM,Marble Brewery Albuquerque  NM,,,
445,Big Wood Brewery,Vadnais Heights, MN,Big Wood Brewery Vadnais Heights  MN,,,
446,Howard Brewing Company,Lenoir, NC,Howard Brewing Company Lenoir  NC,,,
447,Downeast Cider House,Leominster, MA,Downeast Cider House Leominster  MA,,,
448,Swamp Head Brewery,Gainesville, FL,Swamp Head Brewery Gainesville  FL,,,
449,Mavericks Beer Company,Half Moon Bay, CA,Mavericks Beer Company Half Moon Bay  CA,,,
450,TailGate Beer,San Diego, CA,TailGate Beer San Diego  CA,,,
451,Northwest Brewing Company,Pacific, WA,Northwest Brewing Company Pacific  WA,,,
452,Dad & Dude's Breweria,Aurora, CO,Dad & Dude's Breweria Aurora  CO,,,
453,Centennial Beer Company,Edwards, CO,Centennial Beer Company Edwards  CO,,,
454,Denali Brewing Company,Talkeetna, AK,Denali Brewing Company Talkeetna  AK,,,
455,Deschutes Brewery,Bend, OR,Deschutes Brewery Bend  OR,,,
456,Sunken City Brewing Company,Hardy, VA,Sunken City Brewing Company Hardy  VA,,,
457,Lucette Brewing Company,Menominie, WI,Lucette Brewing Company Menominie  WI,,,
458,The Black Tooth Brewing Company,Sheridan, WY,The Black Tooth Brewing Company Sheridan  WY,,,
459,Kenai River Brewing Company,Soldotna, AK,Kenai River Brewing Company Soldotna  AK,,,
460,River North Brewery,Denver, CO,River North Brewery Denver  CO,,,
461,Fremont Brewing Company,Seattle, WA,Fremont Brewing Company Seattle  WA,,,
462,Armstrong Brewing Company,South San Francisco, CA,Armstrong Brewing Company South San Francisco  CA,,,
463,AC Golden Brewing Company,Golden, CO,AC Golden Brewing Company Golden  CO,,,
464,Big Bend Brewing Company,Alpine, TX,Big Bend Brewing Company Alpine  TX,,,
465,Good Life Brewing Company,Bend, OR,Good Life Brewing Company Bend  OR,,,
466,Engine 15 Brewing,Jacksonville Beach, FL,Engine 15 Brewing Jacksonville Beach  FL,,,
467,Green Room Brewing,Jacksonville, FL,Green Room Brewing Jacksonville  FL,,,
468,Brindle Dog Brewing Company,Tampa Bay, FL,Brindle Dog Brewing Company Tampa Bay  FL,,,
469,Peace Tree Brewing Company,Knoxville, IA,Peace Tree Brewing Company Knoxville  IA,,,
470,Terrapin Brewing Company,Athens, GA,Terrapin Brewing Company Athens  GA,,,
471,Pete's Brewing Company,San Antonio, TX,Pete's Brewing Company San Antonio  TX,,,
472,Okoboji Brewing Company,Spirit Lake, IA,Okoboji Brewing Company Spirit Lake  IA,,,
473,Crystal Springs Brewing Company,Boulder, CO,Crystal Springs Brewing Company Boulder  CO,,,
474,Engine House 9,Tacoma, WA,Engine House 9 Tacoma  WA,,,
475,Tonka Beer Company,Minnetonka, MN,Tonka Beer Company Minnetonka  MN,,,
476,Red Hare Brewing Company,Marietta, GA,Red Hare Brewing Company Marietta  GA,,,
477,Hangar 24 Craft Brewery,Redlands, CA,Hangar 24 Craft Brewery Redlands  CA,,,
478,Big Elm Brewing,Sheffield, MA,Big Elm Brewing Sheffield  MA,,,
479,Good People Brewing Company,Birmingham, AL,Good People Brewing Company Birmingham  AL,,,
480,Heavy Seas Beer,Halethorpe, MD,Heavy Seas Beer Halethorpe  MD,,,
481,Telluride Brewing Company,Telluride, CO,Telluride Brewing Company Telluride  CO,,,
482,7 Seas Brewing Company,Gig Harbor, WA,7 Seas Brewing Company Gig Harbor  WA,,,
483,Confluence Brewing Company,Des Moines, IA,Confluence Brewing Company Des Moines  IA,,,
484,Bale Breaker Brewing Company,Yakima, WA,Bale Breaker Brewing Company Yakima  WA,,,
485,The Manhattan Brewing Company,New York, NY,The Manhattan Brewing Company New York  NY,,,
486,MacTarnahans Brewing Company,Portland, OR,MacTarnahans Brewing Company Portland  OR,,,
487,Stillmank Beer Company,Green Bay, WI,Stillmank Beer Company Green Bay  WI,,,
488,Redhook Brewery,Woodinville, WA,Redhook Brewery Woodinville  WA,,,
489,Dock Street Brewery,Philadelphia, PA,Dock Street Brewery Philadelphia  PA,,,
490,Blue Point Brewing Company,Patchogue, NY,Blue Point Brewing Company Patchogue  NY,,,
491,Tampa Bay Brewing Company,Tampa, FL,Tampa Bay Brewing Company Tampa  FL,,,
492,Devil's Canyon Brewery,Belmont, CA,Devil's Canyon Brewery Belmont  CA,,,
493,Stone Coast Brewing Company,Portland, ME,Stone Coast Brewing Company Portland  ME,,,
494,Broken Tooth Brewing Company,Anchorage, AK,Broken Tooth Brewing Company Anchorage  AK,,,
495,Seven Brides Brewery,Silverton, OR,Seven Brides Brewery Silverton  OR,,,
496,Newburyport Brewing Company,Newburyport, MA,Newburyport Brewing Company Newburyport  MA,,,
497,Dry Dock Brewing Company,Aurora, CO,Dry Dock Brewing Company Aurora  CO,,,
498,Cans Bar and Canteen,Charlotte, NC,Cans Bar and Canteen Charlotte  NC,,,
499,Sprecher Brewing Company,Glendale, WI,Sprecher Brewing Company Glendale  WI,,,
500,Wildwood Brewing Company,Stevensville, MT,Wildwood Brewing Company Stevensville  MT,,,
501,High Noon Saloon And Brewery,Leavenworth, KS,High Noon Saloon And Brewery Leavenworth  KS,,,
502,Woodchuck Hard Cider,Middlebury, VT,Woodchuck Hard Cider Middlebury  VT,,,
503,Sea Dog Brewing Company,Portland, ME,Sea Dog Brewing Company Portland  ME,,,
504,Oskar Blues Brewery,Lyons, CO,Oskar Blues Brewery Lyons  CO,,,
505,Carolina Beer & Beverage,Mooresville, NC,Carolina Beer & Beverage Mooresville  NC,,,
506,Krebs Brewing Company (Pete's Pl...,Krebs, OK,Krebs Brewing Company (Pete's Pl... Krebs  OK,,,
507,Warbird Brewing Company,Fort Wayne, IN,Warbird Brewing Company Fort Wayne  IN,,,
508,Mudshark Brewing Company,Lake Havasu City, AZ,Mudshark Brewing Company Lake Havasu City  AZ,,,
509,Spilker Ales,Cortland, NE,Spilker Ales Cortland  NE,,,
510,Wingman Brewers,Tacoma, WA,Wingman Brewers Tacoma  WA,,,
511,Kettle House Brewing Company,Missoula, MT,Kettle House Brewing Company Missoula  MT,,,
512,Sherwood Forest Brewers,Marlborough, MA,Sherwood Forest Brewers Marlborough  MA,,,
513,Cottrell Brewing,Pawcatuck, CT,Cottrell Brewing Pawcatuck  CT,,,
514,Arctic Craft Brewery,Colorado Springs, CO,Arctic Craft Brewery Colorado Springs  CO,,,
515,Monkey Paw Pub & Brewery,San Diego, CA,Monkey Paw Pub & Brewery San Diego  CA,,,
516,Crabtree Brewing Company,Greeley, CO,Crabtree Brewing Company Greeley  CO,,,
517,Emerald City Beer Company,Seattle, WA,Emerald City Beer Company Seattle  WA,,,
518,Butcher's Brewing,Carlsbad, CA,Butcher's Brewing Carlsbad  CA,,,
519,New South Brewing Company,Myrtle Beach, SC,New South Brewing Company Myrtle Beach  SC,,,
520,Big River Brewing Company,Chattanooga, TN,Big River Brewing Company Chattanooga  TN,,,
521,Twisted Pine Brewing Company,Boulder, CO,Twisted Pine Brewing Company Boulder  CO,,,
522,Flying Dog Brewery,Frederick, MD,Flying Dog Brewery Frederick  MD,,,
523,Uncommon Brewers,Santa Cruz, CA,Uncommon Brewers Santa Cruz  CA,,,
524,Aspen Brewing Company,Aspen, CO,Aspen Brewing Company Aspen  CO,,,
525,Triangle Brewing Company,Durham, NC,Triangle Brewing Company Durham  NC,,,
526,Bomb Beer Company,New York, NY,Bomb Beer Company New York  NY,,,
527,Churchkey Can Company,Seattle, WA,Churchkey Can Company Seattle  WA,,,
528,Intuition Ale Works,Jacksonville, FL,Intuition Ale Works Jacksonville  FL,,,
529,Asheville Brewing Company,Asheville, NC,Asheville Brewing Company Asheville  NC,,,
530,Northwoods Brewpub,Eau Claire, WI,Northwoods Brewpub Eau Claire  WI,,,
531,Buckbean Brewing Company,Reno, NV,Buckbean Brewing Company Reno  NV,,,
532,Dolores River Brewery,Dolores, CO,Dolores River Brewery Dolores  CO,,,
533,Flat Rock Brewing Company,Smithton, PA,Flat Rock Brewing Company Smithton  PA,,,
534,Abita Brewing Company,Abita Springs, LA,Abita Brewing Company Abita Springs  LA,,,
535,Mammoth Brewing Company,Mammoth Lakes, CA,Mammoth Brewing Company Mammoth Lakes  CA,,,
536,Harvest Moon Brewing Company,Belt, MT,Harvest Moon Brewing Company Belt  MT,,,
537,Grand Canyon Brewing Company,Williams, AZ,Grand Canyon Brewing Company Williams  AZ,,,
538,Lewis and Clark Brewing Company,Helena, MT,Lewis and Clark Brewing Company Helena  MT,,,
539,Dundee Brewing Company,Rochester, NY,Dundee Brewing Company Rochester  NY,,,
540,Twin Lakes Brewing Company,Greenville, DE,Twin Lakes Brewing Company Greenville  DE,,,
541,Mother Earth Brewing Company,Kinston, NC,Mother Earth Brewing Company Kinston  NC,,,
542,Arcadia Brewing Company,Battle Creek, MI,Arcadia Brewing Company Battle Creek  MI,,,
543,Angry Minnow Brewing Company,Hayward, WI,Angry Minnow Brewing Company Hayward  WI,,,
544,Great Northern Brewing Company,Whitefish, MT,Great Northern Brewing Company Whitefish  MT,,,
545,Pyramid Breweries,Seattle, WA,Pyramid Breweries Seattle  WA,,,
546,Lancaster Brewing Company,Lancaster, PA,Lancaster Brewing Company Lancaster  PA,,,
547,Upstate Brewing Company,Elmira, NY,Upstate Brewing Company Elmira  NY,,,
548,Moat Mountain Smoke House & Brew...,North Conway, NH,Moat Mountain Smoke House & Brew... North Conway  NH,,,
549,Prescott Brewing Company,Prescott, AZ,Prescott Brewing Company Prescott  AZ,,,
550,Mogollon Brewing Company,Flagstaff, AZ,Mogollon Brewing Company Flagstaff  AZ,,,
551,Wind River Brewing Company,Pinedale, WY,Wind River Brewing Company Pinedale  WY,,,
552,Silverton Brewery,Silverton, CO,Silverton Brewery Silverton  CO,,,
553,Mickey Finn's Brewery,Libertyville, IL,Mickey Finn's Brewery Libertyville  IL,,,
554,Covington Brewhouse,Covington, LA,Covington Brewhouse Covington  LA,,,
555,Dave's Brewfarm,Wilson, WI,Dave's Brewfarm Wilson  WI,,,
556,Ukiah Brewing Company,Ukiah, CA,Ukiah Brewing Company Ukiah  CA,,,
557,Butternuts Beer and Ale,Garrattsville, NY,Butternuts Beer and Ale Garrattsville  NY,,,
558,Sleeping Lady Brewing Company,Anchorage, AK,Sleeping Lady Brewing Company Anchorage  AK,,,
